yyyymm,Ret,Rfree,D/P
187612,-0.005555555555555536,0.003978594604357442,-2.4793356047385453
187701,-0.008379888268156499,0.0037350775449569353,-2.502067136810097
187702,-0.05915492957746482,0.002960250537773502,-2.4728834110884192
187703,-0.050898203592814384,0.0029159747087915923,-2.4538482527680276
187704,-0.0725552050473186,0.0028716988798096815,-2.4128707938304634
187705,0.0,0.002591285296257582,-2.4480435015773736
187706,-0.0714285714285714,0.002635561125239492,-2.4107986776342782
187707,0.04395604395604402,0.0026945955638820397,-2.4920902851594255
187708,0.07017543859649122,0.0038014912884298006,-2.5992693120879737
187709,0.06229508196721323,0.004347559845873363,-2.701129758257636
187710,0.021604938271604812,0.004989559366111064,-2.7657241201041822
187711,-0.015105740181268978,0.004207353054097314,-2.795173129210255
187712,-0.0030674846625766694,0.003786732678769164,-2.839386203163297
187801,0.0,0.0039564566898664865,-2.8436056187060053
187802,-0.021538461538461506,0.0035579742290292936,-2.826600040111116
187803,0.018867924528301883,0.0034177674372532435,-2.8495497633759097
187804,0.02777777777777768,0.0035948707531808853,-2.8812245324268124
187805,0.0030030030030030463,0.002982388452264458,-2.889055259591008
187806,0.020958083832335328,0.0024510785044815323,-2.9141117451992375
187807,0.02052785923753664,0.0022961131030448455,-2.938765448947313
187808,-0.008620689655172376,0.0024510785044815323,-2.9350053551797464
187809,0.020289855072463725,0.0030488021957373237,-2.9594660955695966
187810,-0.011363636363636354,0.003661284496653751,-2.9524305973663942
187811,-0.002873563218390718,0.0034177674372532435,-2.9545184249828287
187812,-0.0057636887608069065,0.0033734916082713328,-2.9531726591351948
187901,0.03768115942028971,0.0028348023556580898,-2.9807611039926205
187902,0.03631284916201105,0.0024510785044815323,-3.0076630007558216
187903,-0.016172506738544534,0.0033734916082713328,-2.982126621498212
187904,0.03287671232876721,0.003661284496653751,-3.0053272298943794
187905,0.04509283819628651,0.0029159747087915923,-3.040899566628873
187906,0.0050761421319796,0.0027757679170155422,-3.0369752320880403
187907,0.02020202020202011,0.002517492247954398,-3.048068320903597
187908,0.007425742574257432,0.003742456849787253,-3.0471548922223555
187909,0.03685503685503666,0.003904801556054259,-3.0745908484663107
187910,0.1090047393364928,0.0040228704333393536,-3.169373663516679
187911,0.05341880341880345,0.004251628883079224,-3.2133132315109854
187912,-0.0020283975659228792,0.004030249738169672,-3.202746442938317
188001,0.03861788617886197,0.003609629362841522,-3.215944704059342
188002,0.017612524461839474,0.0035579742290292936,-3.20930637385205
188003,0.019230769230769162,0.003698181020805343,-3.2048240714125504
188004,-0.02264150943396226,0.003698181020805343,-3.158932788901167
188005,-0.07915057915057921,0.0034694225710654725,-3.0540011816779664
188006,0.004192872117400492,0.002997147061925094,-3.0362063814817652
188007,0.045929018789143905,0.0029159747087915923,-3.0596056799347515
188008,0.03592814371257491,0.0033513536937803783,-3.073850052817943
188009,-0.0019267822736032114,0.0035136984000473824,-3.0513021247088017
188010,0.02895752895752901,0.0034177674372532435,-3.0596455992976437
188011,0.05253283302063805,0.003653905191823433,-3.091042453358316
188012,0.04099821746880572,0.0040671462623212635,-3.1118044448067446
188101,0.05993150684931514,0.0035136984000473824,-3.1509605396924196
188102,-0.003231017770597866,0.003609629362841522,-3.129032157901059
188103,0.011345218800648427,0.0037350775449569353,-3.121964363696902
188104,-0.0032051282051283048,0.0034694225710654725,-3.100735582563975
188105,0.045016077170418,0.002635561125239492,-3.127068275615078
188106,0.012307692307692353,0.002222320054741662,-3.1219091013388436
188107,-0.0349544072948329,0.002591285296257582,-3.0692347355469174
188108,-0.023622047244094446,0.0032923192551378307,-3.028522096376982
188109,0.008064516129032251,0.0038383878125813936,-3.0200249661230356
188110,-0.015999999999999903,0.004251628883079224,-2.9876350633213717
188111,0.006504065040650486,0.0042885254072308155,-2.978117726853009
188112,-0.029079159935379795,0.004251628883079224,-2.932859031735481
188201,-0.014975041597337757,0.003698181020805343,-2.9177707320842794
188202,-0.02195945945945943,0.0036760431063143878,-2.8955665747732686
188203,-0.0017271157167529916,0.0038014912884298006,-2.8938379658726507
188204,0.0,0.0033734916082713328,-2.8938379658726507
188205,-0.01211072664359869,0.0032185262068346464,-2.8816533068562835
188206,-0.005253940455341555,0.0034177674372532435,-2.8763855159214247
188207,0.05633802816901423,0.0030488021957373237,-2.9311937524164198
188208,0.030000000000000027,0.003808870593260119,-2.9607525546579643
188209,0.009708737864077666,0.004620594124595144,-2.970414465569701
188210,-0.027243589743589758,0.0045615596859525966,-2.942792888259772
188211,-0.042833607907743154,0.004436111503837183,-2.8990148540521847
188212,0.005163511187607606,0.003978594604357442,-2.9041650800285
